Content ID,Content Type,Genre,Release Date,Time of Day,Day of the Week,Duration (mins),Viewership,Average Watch Time (mins),Peak Viewership Time,Peak Viewership Day,Viewer Age,Viewer Gender,Viewer Location,Likes,Shares,Comments,User Ratings,Seasonality,Content Popularity,Competitor Content,Promotion Data,Subscription Data
1,Movie,Thriller,07-03-2024,11:57 PM,Thursday,121,8203,72,10:17 AM,Friday,45-54,Male,Germany,299,1746,589,1.7,Fall,Low,Similar Doc C,Social Media,8883
2,Series,Comedy,09-08-2024,08:57 PM,Friday,1200,64148,115,03:25 PM,Saturday,18-24,Female,Australia,1615,36,127,1.1,Spring,Low,Similar Series B,Print Media,3850
3,Movie,Sci-Fi,09-07-2024,11:25 PM,Friday,170,8216,43,08:50 AM,Sunday,18-24,Female,Australia,1502,837,1084,3,Fall,Medium,Similar Thriller H,Email Campaign,7835
4,Series,Romance,7/15/2024,06:59 AM,Friday,506,52848,87,02:57 PM,Friday,35-44,Male,USA,2148,1743,563,1,Winter,Medium,Similar History G,Online Ads,17506
5,Documentary,Fantasy,07-05-2024,06:27 PM,Sunday,77,14090,42,03:40 AM,Saturday,25-34,Female,Germany,431,863,1035,4.3,Winter,Low,Similar Movie A,30% off,8675
6,Movie,Comedy,08-08-2024,05:27 PM,Friday,125,98298,56,02:48 PM,Saturday,18-24,Female,Australia,106,1416,421,2,Fall,Low,Similar Thriller H,Online Ads,1514
7,Movie,Thriller,8/29/2024,02:09 AM,Sunday,101,60062,68,10:09 PM,Sunday,25-34,Male,France,2560,459,1414,4.9,Summer,Medium,Similar Doc C,Email Campaign,172
8,Movie,History,09-05-2024,08:57 PM,Friday,129,69967,59,01:46 PM,Tuesday,45-54,Male,Germany,1044,927,970,1.9,Summer,High,Similar Doc C,Online Ads,16081
9,Series,Drama,08-07-2024,08:16 PM,Saturday,220,88751,114,08:44 AM,Friday,45-54,Male,Italy,2260,1994,1035,1.1,Summer,Low,Similar Sci-Fi E,Email Campaign,3132
10,Series,Fantasy,09-11-2024,07:54 PM,Tuesday,1137,26541,118,12:37 AM,Saturday,45-54,Male,Australia,17,1770,1226,3.2,Spring,Low,Similar Doc C,TV Ads,16655
11,Series,Fantasy,8/19/2024,12:35 PM,Monday,157,37753,74,02:10 PM,Sunday,18-24,Female,UK,103,1449,711,1.3,Summer,Low,Similar Thriller H,Email Campaign,2664
12,Movie,Drama,8/22/2024,02:20 AM,Saturday,109,62425,41,07:35 PM,Friday,45-54,Female,France,1122,322,696,2,Winter,High,Similar Doc C,TV Ads,5411
13,Movie,Sci-Fi,08-05-2024,11:24 AM,Friday,139,78308,58,11:43 AM,Saturday,18-24,Male,UK,2544,1746,104,2.1,Summer,High,Similar Action D,Email Campaign,13857
14,Documentary,Comedy,09-02-2024,12:51 AM,Tuesday,91,96842,27,02:50 AM,Saturday,25-34,Male,Canada,151,1422,744,4.8,Summer,High,Similar Series B,30% off,16500
